operation,latency,throughput,memory_usage,cpu_usage,data_size_bytes
decryption,2.483516 s,0.201327 KB/s,"{'current': '12.055664 KB', 'peak': '18.507812 KB'}",2.500000 %,512
encryption,2.696585 s,0.185420 KB/s,"{'current': '12.392578 KB', 'peak': '26.178711 KB'}",42.600000 %,512
decryption,2.483228 s,0.201351 KB/s,"{'current': '13.252930 KB', 'peak': '20.361328 KB'}",3.700000 %,512
encryption,2.929454 s,0.170680 KB/s,"{'current': '9.656250 KB', 'peak': '23.442383 KB'}",47.100000 %,512
decryption,2.507661 s,0.199389 KB/s,"{'current': '7.110352 KB', 'peak': '17.510742 KB'}",3.600000 %,512
encryption,1.789042 s,0.279479 KB/s,"{'current': '13.702148 KB', 'peak': '24.800781 KB'}",15.100000 %,512
decryption,2.492668 s,0.200588 KB/s,"{'current': '7.000977 KB', 'peak': '17.760742 KB'}",3.700000 %,512
encryption,1.538330 s,0.325028 KB/s,"{'current': '26.794922 KB', 'peak': '35.791992 KB'}",0.000000 %,512
decryption,2.419305 s,0.206671 KB/s,"{'current': '33.415039 KB', 'peak': '58.654297 KB'}",0.600000 %,512
encryption,1.538673 s,0.324955 KB/s,"{'current': '11.814453 KB', 'peak': '29.675781 KB'}",0.000000 %,512
decryption,2.417256 s,0.206846 KB/s,"{'current': '2.750977 KB', 'peak': '28.762695 KB'}",0.600000 %,512
encryption,1.507452 s,0.331686 KB/s,"{'current': '4.052734 KB', 'peak': '27.048828 KB'}",1.000000 %,512
decryption,2.448192 s,0.204232 KB/s,"{'current': '5.889648 KB', 'peak': '31.901367 KB'}",0.600000 %,512
encryption,1.537862 s,0.325127 KB/s,"{'current': '4.052734 KB', 'peak': '27.048828 KB'}",0.000000 %,512
decryption,2.430712 s,0.205701 KB/s,"{'current': '2.750977 KB', 'peak': '28.762695 KB'}",0.000000 %,512
encryption,1.539304 s,0.324822 KB/s,"{'current': '7.724609 KB', 'peak': '27.298828 KB'}",1.000000 %,512
decryption,2.443676 s,0.204610 KB/s,"{'current': '4.211914 KB', 'peak': '30.223633 KB'}",0.600000 %,512
encryption,2.043732 s,0.326838 KB/s,"{'current': '70.107422 KB', 'peak': '82.559570 KB'}",2.200000 %,684
decryption,2.472548 s,0.202221 KB/s,"{'current': '67.406250 KB', 'peak': '73.562500 KB'}",3.700000 %,512
encryption,2.039083 s,0.327583 KB/s,"{'current': '9.099609 KB', 'peak': '21.953125 KB'}",0.000000 %,684
decryption,2.443202 s,0.204649 KB/s,"{'current': '2.622070 KB', 'peak': '13.452148 KB'}",1.200000 %,512
encryption,2.041470 s,0.327200 KB/s,"{'current': '10.829102 KB', 'peak': '24.072266 KB'}",0.000000 %,684
decryption,2.442223 s,0.204732 KB/s,"{'current': '7.819336 KB', 'peak': '13.687500 KB'}",0.000000 %,512
encryption,2.039185 s,0.327567 KB/s,"{'current': '5.649414 KB', 'peak': '18.271484 KB'}",0.000000 %,684
decryption,2.444215 s,0.204565 KB/s,"{'current': '2.653320 KB', 'peak': '13.452148 KB'}",0.600000 %,512
encryption,2.041312 s,0.327225 KB/s,"{'current': '5.649414 KB', 'peak': '18.271484 KB'}",0.700000 %,684
decryption,2.440183 s,0.204903 KB/s,"{'current': '7.079102 KB', 'peak': '13.952148 KB'}",0.600000 %,512
encryption,1.539059 s,0.324874 KB/s,"{'current': '87.319336 KB', 'peak': '96.259766 KB'}",1.000000 %,512
decryption,2.450237 s,0.204062 KB/s,"{'current': '103.967773 KB', 'peak': '106.801758 KB'}",0.000000 %,512
encryption,1.535986 s,0.325524 KB/s,"{'current': '10.502930 KB', 'peak': '21.062500 KB'}",1.900000 %,512
decryption,2.442802 s,0.204683 KB/s,"{'current': '3.059570 KB', 'peak': '13.702148 KB'}",0.000000 %,512
encryption,1.534362 s,0.325868 KB/s,"{'current': '11.413086 KB', 'peak': '21.456055 KB'}",0.000000 %,512
decryption,2.444251 s,0.204562 KB/s,"{'current': '8.108398 KB', 'peak': '13.452148 KB'}",1.200000 %,512
encryption,1.536125 s,0.325494 KB/s,"{'current': '6.256836 KB', 'peak': '17.049805 KB'}",1.000000 %,512
decryption,2.441587 s,0.204785 KB/s,"{'current': '2.997070 KB', 'peak': '13.452148 KB'}",1.200000 %,512
encryption,1.536247 s,0.325469 KB/s,"{'current': '9.850586 KB', 'peak': '18.697266 KB'}",0.000000 %,512
decryption,2.415755 s,0.206975 KB/s,"{'current': '5.700195 KB', 'peak': '13.452148 KB'}",0.000000 %,512
encryption,2.725203 s,0.412813 KB/s,"{'current': '71.291992 KB', 'peak': '92.556641 KB'}",0.000000 %,1152
encryption,0.206655 s,1.015996 KB/s,"{'current': '79.830078 KB', 'peak': '86.916992 KB'}",12.500000 %,215
encryption,0.176018 s,0.227472 KB/s,"{'current': '77.963867 KB', 'peak': '82.125977 KB'}",6.600000 %,41
encryption,0.149290 s,0.268196 KB/s,"{'current': '77.713867 KB', 'peak': '81.875977 KB'}",7.200000 %,41
decryption,2.488356 s,0.016091 KB/s,"{'current': '91.417969 KB', 'peak': '93.664062 KB'}",0.000000 %,41
encryption,0.649886 s,0.320068 KB/s,"{'current': '6.002930 KB', 'peak': '17.447266 KB'}",2.200000 %,213
decryption,2.436576 s,0.085369 KB/s,"{'current': '2.974609 KB', 'peak': '13.389648 KB'}",1.900000 %,213
encryption,0.649809 s,0.320106 KB/s,"{'current': '4.299805 KB', 'peak': '15.330078 KB'}",0.000000 %,213
encryption,0.810271 s,0.308539 KB/s,"{'current': '83.804688 KB', 'peak': '89.076172 KB'}",0.000000 %,256
